,survived,pclass,sex,age,sibsp,parch,fare,embarked
0,1,1.0,female,29.0,0.0,0.0,211.3375,S
1,1,1.0,male,0.9167,1.0,2.0,151.55,S
2,0,1.0,female,2.0,1.0,2.0,151.55,S
3,0,1.0,male,30.0,1.0,2.0,151.55,S
4,0,1.0,female,25.0,1.0,2.0,151.55,S
5,1,1.0,male,48.0,0.0,0.0,26.55,S
6,1,1.0,female,63.0,1.0,0.0,77.9583,S
7,0,1.0,male,39.0,0.0,0.0,30.0,S
8,1,1.0,female,53.0,2.0,0.0,51.4792,S
9,0,1.0,male,71.0,0.0,0.0,49.5042,C
10,0,1.0,male,47.0,1.0,0.0,227.525,C
11,1,1.0,female,18.0,1.0,0.0,227.525,C
12,1,1.0,female,24.0,0.0,0.0,69.3,C
13,1,1.0,female,26.0,0.0,0.0,78.85,S
14,1,1.0,male,80.0,0.0,0.0,30.0,S
15,0,1.0,male,29.0,0.0,0.0,25.925,S
16,0,1.0,male,24.0,0.0,1.0,247.5208,C
17,1,1.0,female,50.0,0.0,1.0,247.5208,C
18,1,1.0,female,32.0,0.0,0.0,76.2917,C
19,0,1.0,male,36.0,0.0,0.0,75.2417,C
20,1,1.0,male,37.0,1.0,1.0,52.5542,S
21,1,1.0,female,47.0,1.0,1.0,52.5542,S
22,1,1.0,male,26.0,0.0,0.0,30.0,C
23,1,1.0,female,42.0,0.0,0.0,227.525,C
24,1,1.0,female,29.0,0.0,0.0,221.7792,S
25,0,1.0,male,25.0,0.0,0.0,26.0,C
26,1,1.0,male,25.0,1.0,0.0,91.0792,C
27,1,1.0,female,19.0,1.0,0.0,91.0792,C
28,1,1.0,female,35.0,0.0,0.0,135.6333,S
29,1,1.0,male,28.0,0.0,0.0,26.55,S
30,0,1.0,male,45.0,0.0,0.0,35.5,S
31,1,1.0,male,40.0,0.0,0.0,31.0,C
32,1,1.0,female,30.0,0.0,0.0,164.8667,S
33,1,1.0,female,58.0,0.0,0.0,26.55,S
34,0,1.0,male,42.0,0.0,0.0,26.55,S
35,1,1.0,female,45.0,0.0,0.0,262.375,C
36,1,1.0,female,22.0,0.0,1.0,55.0,S
37,1,1.0,male,29.0,0.0,0.0,26.55,S
38,0,1.0,male,41.0,0.0,0.0,30.5,S
39,0,1.0,male,48.0,0.0,0.0,50.4958,C
41,1,1.0,female,44.0,0.0,0.0,27.7208,C
42,1,1.0,female,59.0,2.0,0.0,51.4792,S
43,1,1.0,female,60.0,0.0,0.0,76.2917,C
44,1,1.0,female,41.0,0.0,0.0,134.5,C
45,0,1.0,male,45.0,0.0,0.0,26.55,S
46,0,1.0,male,29.0,0.0,0.0,31.0,S
47,1,1.0,male,42.0,0.0,0.0,26.2875,S
48,1,1.0,female,53.0,0.0,0.0,27.4458,C
49,1,1.0,male,36.0,0.0,1.0,512.3292,C
50,1,1.0,female,58.0,0.0,1.0,512.3292,C
51,0,1.0,male,33.0,0.0,0.0,5.0,S
52,0,1.0,male,28.0,0.0,0.0,47.1,S
53,0,1.0,male,17.0,0.0,0.0,47.1,S
54,1,1.0,male,11.0,1.0,2.0,120.0,S
55,1,1.0,female,14.0,1.0,2.0,120.0,S
56,1,1.0,male,36.0,1.0,2.0,120.0,S
57,1,1.0,female,36.0,1.0,2.0,120.0,S
58,0,1.0,male,49.0,0.0,0.0,26.0,S
59,1,1.0,female,35.5,0.0,0.0,27.7208,C
60,0,1.0,male,36.0,1.0,0.0,78.85,S
61,1,1.0,female,76.0,1.0,0.0,78.85,S
62,0,1.0,male,46.0,1.0,0.0,61.175,S
63,1,1.0,female,47.0,1.0,0.0,61.175,S
64,1,1.0,male,27.0,1.0,0.0,53.1,S
65,1,1.0,female,33.0,1.0,0.0,53.1,S
66,1,1.0,female,36.0,0.0,0.0,262.375,C
67,1,1.0,female,30.0,0.0,0.0,86.5,S
68,1,1.0,male,45.0,0.0,0.0,29.7,C
69,1,1.0,female,35.5,0.0,1.0,55.0,S
70,0,1.0,male,29.0,0.0,0.0,30.0,S
71,0,1.0,male,27.0,1.0,0.0,136.7792,C
72,1,1.0,female,26.0,1.0,0.0,136.7792,C
73,1,1.0,female,22.0,0.0,0.0,151.55,S
74,0,1.0,male,29.0,0.0,0.0,52.0,S
75,0,1.0,male,47.0,0.0,0.0,25.5875,S
76,1,1.0,female,39.0,1.0,1.0,83.1583,C
77,0,1.0,male,37.0,1.0,1.0,83.1583,C
78,1,1.0,female,64.0,0.0,2.0,83.1583,C
79,1,1.0,female,55.0,2.0,0.0,25.7,S
80,0,1.0,male,29.0,0.0,0.0,26.55,S
81,0,1.0,male,70.0,1.0,1.0,71.0,S
82,1,1.0,female,36.0,0.0,2.0,71.0,S
83,1,1.0,female,64.0,1.0,1.0,26.55,S
84,0,1.0,male,39.0,1.0,0.0,71.2833,C
85,1,1.0,female,38.0,1.0,0.0,71.2833,C
86,1,1.0,male,51.0,0.0,0.0,26.55,S
87,1,1.0,male,27.0,0.0,0.0,30.5,S
88,1,1.0,female,33.0,0.0,0.0,151.55,S
89,0,1.0,male,31.0,1.0,0.0,52.0,S
90,1,1.0,female,27.0,1.0,2.0,52.0,S
91,1,1.0,male,31.0,1.0,0.0,57.0,S
92,1,1.0,female,17.0,1.0,0.0,57.0,S
93,1,1.0,male,53.0,1.0,1.0,81.8583,S
94,1,1.0,male,4.0,0.0,2.0,81.8583,S
95,1,1.0,female,54.0,1.0,1.0,81.8583,S
96,0,1.0,male,50.0,1.0,0.0,106.425,C
97,1,1.0,female,27.0,1.0,1.0,247.5208,C
98,1,1.0,female,48.0,1.0,0.0,106.425,C
99,1,1.0,female,48.0,1.0,0.0,39.6,C
100,1,1.0,male,49.0,1.0,0.0,56.9292,C
101,0,1.0,male,39.0,0.0,0.0,29.7,C
102,1,1.0,female,23.0,0.0,1.0,83.1583,C
103,1,1.0,female,38.0,0.0,0.0,227.525,C
104,1,1.0,female,54.0,1.0,0.0,78.2667,C
105,0,1.0,female,36.0,0.0,0.0,31.6792,C
106,0,1.0,male,29.0,0.0,0.0,221.7792,S
107,1,1.0,female,35.5,0.0,0.0,31.6833,S
108,1,1.0,female,22.0,0.0,0.0,110.8833,C
109,1,1.0,male,36.0,0.0,0.0,26.3875,S
110,0,1.0,male,30.0,0.0,0.0,27.75,C
111,1,1.0,female,24.0,3.0,2.0,263.0,S
112,1,1.0,female,28.0,3.0,2.0,263.0,S
113,1,1.0,female,23.0,3.0,2.0,263.0,S
114,0,1.0,male,19.0,3.0,2.0,263.0,S
115,0,1.0,male,64.0,1.0,4.0,263.0,S
116,1,1.0,female,60.0,1.0,4.0,263.0,S
117,1,1.0,female,30.0,0.0,0.0,56.9292,C
118,0,1.0,male,29.0,0.0,0.0,26.55,S
119,1,1.0,male,50.0,2.0,0.0,133.65,S
120,1,1.0,male,43.0,1.0,0.0,27.7208,C
121,1,1.0,female,35.5,1.0,0.0,133.65,S
122,1,1.0,female,22.0,0.0,2.0,49.5,C
123,1,1.0,male,60.0,1.0,1.0,79.2,C
124,1,1.0,female,48.0,1.0,1.0,79.2,C
125,0,1.0,male,29.0,0.0,0.0,30.0,S
126,0,1.0,male,37.0,1.0,0.0,53.1,S
127,1,1.0,female,35.0,1.0,0.0,53.1,S
128,0,1.0,male,47.0,0.0,0.0,38.5,S
129,1,1.0,female,35.0,0.0,0.0,211.5,C
130,1,1.0,female,22.0,0.0,1.0,59.4,C
131,1,1.0,female,45.0,0.0,1.0,59.4,C
132,0,1.0,male,24.0,0.0,0.0,79.2,C
133,1,1.0,male,49.0,1.0,0.0,89.1042,C
134,1,1.0,female,35.5,1.0,0.0,89.1042,C
135,0,1.0,male,71.0,0.0,0.0,34.6542,C
136,1,1.0,male,53.0,0.0,0.0,28.5,C
137,1,1.0,female,19.0,0.0,0.0,30.0,S
138,0,1.0,male,38.0,0.0,1.0,153.4625,S
139,1,1.0,female,58.0,0.0,1.0,153.4625,S
140,1,1.0,male,23.0,0.0,1.0,63.3583,C
141,1,1.0,female,45.0,0.0,1.0,63.3583,C
142,0,1.0,male,46.0,0.0,0.0,79.2,C
143,1,1.0,male,25.0,1.0,0.0,55.4417,C
144,1,1.0,female,25.0,1.0,0.0,55.4417,C
145,1,1.0,male,48.0,1.0,0.0,76.7292,C
146,1,1.0,female,49.0,1.0,0.0,76.7292,C
147,0,1.0,male,29.0,0.0,0.0,42.4,S
148,0,1.0,male,45.0,1.0,0.0,83.475,S
149,1,1.0,female,35.0,1.0,0.0,83.475,S
150,0,1.0,male,40.0,0.0,0.0,30.0,S
151,1,1.0,male,27.0,0.0,0.0,76.7292,C
152,1,1.0,male,29.0,0.0,0.0,30.0,S
153,1,1.0,female,24.0,0.0,0.0,83.1583,C
154,0,1.0,male,55.0,1.0,1.0,93.5,S
155,1,1.0,female,52.0,1.0,1.0,93.5,S
156,0,1.0,male,42.0,0.0,0.0,42.5,S
157,0,1.0,male,29.0,0.0,0.0,51.8625,S
158,0,1.0,male,55.0,0.0,0.0,50.0,S
159,1,1.0,female,16.0,0.0,1.0,57.9792,C
160,1,1.0,female,44.0,0.0,1.0,57.9792,C
161,1,1.0,female,51.0,1.0,0.0,77.9583,S
162,0,1.0,male,42.0,1.0,0.0,52.0,S
163,1,1.0,female,35.0,1.0,0.0,52.0,S
164,1,1.0,male,35.0,0.0,0.0,26.55,C
165,1,1.0,male,38.0,1.0,0.0,90.0,S
166,0,1.0,male,29.0,0.0,0.0,30.6958,C
167,1,1.0,female,35.0,1.0,0.0,90.0,S
169,0,1.0,female,50.0,0.0,0.0,28.7125,C
170,1,1.0,male,49.0,0.0,0.0,30.0,S
171,0,1.0,male,46.0,0.0,0.0,26.0,S
172,0,1.0,male,50.0,0.0,0.0,26.0,S
173,0,1.0,male,32.5,0.0,0.0,211.5,C
174,0,1.0,male,58.0,0.0,0.0,29.7,C
175,0,1.0,male,41.0,1.0,0.0,51.8625,S
176,1,1.0,female,35.5,1.0,0.0,51.8625,S
177,1,1.0,male,42.0,1.0,0.0,52.5542,S
178,1,1.0,female,45.0,1.0,0.0,52.5542,S
179,0,1.0,male,29.0,0.0,0.0,26.55,S
180,1,1.0,female,39.0,0.0,0.0,211.3375,S
181,1,1.0,female,49.0,0.0,0.0,25.9292,S
182,1,1.0,female,30.0,0.0,0.0,106.425,C
183,1,1.0,male,35.0,0.0,0.0,512.3292,C
184,0,1.0,male,29.0,0.0,0.0,27.7208,C
185,0,1.0,male,42.0,0.0,0.0,26.55,S
186,1,1.0,female,55.0,0.0,0.0,27.7208,C
187,1,1.0,female,16.0,0.0,1.0,39.4,S
188,1,1.0,female,51.0,0.0,1.0,39.4,S
189,0,1.0,male,29.0,0.0,0.0,30.0,S
190,1,1.0,female,21.0,0.0,0.0,77.9583,S
191,0,1.0,male,30.0,0.0,0.0,45.5,S
192,1,1.0,female,58.0,0.0,0.0,146.5208,C
193,1,1.0,female,15.0,0.0,1.0,211.3375,S
194,0,1.0,male,30.0,0.0,0.0,26.0,S
195,1,1.0,female,16.0,0.0,0.0,86.5,S
196,1,1.0,male,29.0,0.0,0.0,29.7,C
197,0,1.0,male,19.0,1.0,0.0,53.1,S
198,1,1.0,female,18.0,1.0,0.0,53.1,S
199,1,1.0,female,24.0,0.0,0.0,49.5042,C
200,0,1.0,male,46.0,0.0,0.0,75.2417,C
201,0,1.0,male,54.0,0.0,0.0,51.8625,S
202,1,1.0,male,36.0,0.0,0.0,26.2875,S
203,0,1.0,male,28.0,1.0,0.0,82.1708,C
204,1,1.0,female,35.5,1.0,0.0,82.1708,C
205,0,1.0,male,65.0,0.0,0.0,26.55,S
206,0,1.0,male,44.0,2.0,0.0,90.0,Q
207,1,1.0,female,33.0,1.0,0.0,90.0,Q
208,1,1.0,female,37.0,1.0,0.0,90.0,Q
209,1,1.0,male,30.0,1.0,0.0,57.75,C
210,0,1.0,male,55.0,0.0,0.0,30.5,S
211,0,1.0,male,47.0,0.0,0.0,42.4,S
212,0,1.0,male,37.0,0.0,1.0,29.7,C
213,1,1.0,female,31.0,1.0,0.0,113.275,C
214,1,1.0,female,23.0,1.0,0.0,113.275,C
215,0,1.0,male,58.0,0.0,2.0,113.275,C
216,1,1.0,female,19.0,0.0,2.0,26.2833,S
217,0,1.0,male,64.0,0.0,0.0,26.0,S
218,1,1.0,female,39.0,0.0,0.0,108.9,C
219,1,1.0,male,29.0,0.0,0.0,25.7417,C
220,1,1.0,female,22.0,0.0,1.0,61.9792,C
221,0,1.0,male,65.0,0.0,1.0,61.9792,C
222,0,1.0,male,28.5,0.0,0.0,27.7208,C
223,0,1.0,male,29.0,0.0,0.0,30.0,S
224,0,1.0,male,45.5,0.0,0.0,28.5,S
225,0,1.0,male,23.0,0.0,0.0,93.5,S
226,0,1.0,male,29.0,1.0,0.0,66.6,S
227,1,1.0,female,22.0,1.0,0.0,66.6,S
228,0,1.0,male,18.0,1.0,0.0,108.9,C
229,1,1.0,female,17.0,1.0,0.0,108.9,C
230,1,1.0,female,30.0,0.0,0.0,93.5,S
231,1,1.0,male,52.0,0.0,0.0,30.5,S
232,0,1.0,male,47.0,0.0,0.0,52.0,S
233,1,1.0,female,56.0,0.0,1.0,83.1583,C
234,0,1.0,male,38.0,0.0,0.0,30.0,S
235,1,1.0,male,29.0,0.0,0.0,39.6,S
236,0,1.0,male,22.0,0.0,0.0,135.6333,C
237,0,1.0,male,29.0,0.0,0.0,227.525,C
238,1,1.0,female,43.0,0.0,1.0,211.3375,S
239,0,1.0,male,31.0,0.0,0.0,50.4958,S
240,1,1.0,male,45.0,0.0,0.0,26.55,S
241,0,1.0,male,29.0,0.0,0.0,50.0,S
242,1,1.0,female,33.0,0.0,0.0,27.7208,C
243,0,1.0,male,46.0,0.0,0.0,79.2,C
244,0,1.0,male,36.0,0.0,0.0,40.125,C
245,1,1.0,female,33.0,0.0,0.0,86.5,S
246,0,1.0,male,55.0,1.0,0.0,59.4,C
247,1,1.0,female,54.0,1.0,0.0,59.4,C
248,0,1.0,male,33.0,0.0,0.0,26.55,S
249,1,1.0,male,13.0,2.0,2.0,262.375,C
250,1,1.0,female,18.0,2.0,2.0,262.375,C
251,1,1.0,female,21.0,2.0,2.0,262.375,C
252,0,1.0,male,61.0,1.0,3.0,262.375,C
253,1,1.0,female,48.0,1.0,3.0,262.375,C
254,1,1.0,male,29.0,0.0,0.0,30.5,S
255,1,1.0,female,24.0,0.0,0.0,69.3,C
256,1,1.0,male,29.0,0.0,0.0,26.0,S
257,1,1.0,female,35.0,1.0,0.0,57.75,C
258,1,1.0,female,30.0,0.0,0.0,31.0,C
259,1,1.0,male,34.0,0.0,0.0,26.55,S
260,1,1.0,female,40.0,0.0,0.0,153.4625,S
261,1,1.0,male,35.0,0.0,0.0,26.2875,S
262,0,1.0,male,50.0,1.0,0.0,55.9,S
263,1,1.0,female,39.0,1.0,0.0,55.9,S
264,1,1.0,male,56.0,0.0,0.0,35.5,C
265,1,1.0,male,28.0,0.0,0.0,35.5,S
266,0,1.0,male,56.0,0.0,0.0,26.55,S
267,0,1.0,male,56.0,0.0,0.0,30.6958,C
268,0,1.0,male,24.0,1.0,0.0,60.0,S
269,0,1.0,male,29.0,0.0,0.0,26.0,S
270,1,1.0,female,18.0,1.0,0.0,60.0,S
271,1,1.0,male,24.0,1.0,0.0,82.2667,S
272,1,1.0,female,23.0,1.0,0.0,82.2667,S
273,1,1.0,male,6.0,0.0,2.0,134.5,C
274,1,1.0,male,45.0,1.0,1.0,134.5,C
275,1,1.0,female,40.0,1.0,1.0,134.5,C
276,0,1.0,male,57.0,1.0,0.0,146.5208,C
277,1,1.0,female,35.5,1.0,0.0,146.5208,C
278,1,1.0,male,32.0,0.0,0.0,30.5,C
279,0,1.0,male,62.0,0.0,0.0,26.55,S
280,1,1.0,male,54.0,1.0,0.0,55.4417,C
281,1,1.0,female,43.0,1.0,0.0,55.4417,C
282,1,1.0,female,52.0,1.0,0.0,78.2667,C
283,0,1.0,male,29.0,0.0,0.0,27.7208,C
285,0,1.0,male,67.0,1.0,0.0,221.7792,S
286,0,1.0,female,63.0,1.0,0.0,221.7792,S
287,0,1.0,male,61.0,0.0,0.0,32.3208,S
288,1,1.0,female,48.0,0.0,0.0,25.9292,S
289,1,1.0,female,18.0,0.0,2.0,79.65,S
290,0,1.0,male,52.0,1.0,1.0,79.65,S
291,1,1.0,female,39.0,1.0,1.0,79.65,S
292,1,1.0,male,48.0,1.0,0.0,52.0,S
293,1,1.0,female,35.5,1.0,0.0,52.0,S
294,0,1.0,male,49.0,1.0,1.0,110.8833,C
295,1,1.0,male,17.0,0.0,2.0,110.8833,C
296,1,1.0,female,39.0,1.0,1.0,110.8833,C
297,1,1.0,female,35.5,0.0,0.0,79.2,C
298,1,1.0,male,31.0,0.0,0.0,28.5375,C
299,0,1.0,male,40.0,0.0,0.0,27.7208,C
300,0,1.0,male,61.0,0.0,0.0,33.5,S
301,0,1.0,male,47.0,0.0,0.0,34.0208,S
302,1,1.0,female,35.0,0.0,0.0,512.3292,C
303,0,1.0,male,64.0,1.0,0.0,75.25,C
304,1,1.0,female,60.0,1.0,0.0,75.25,C
305,0,1.0,male,60.0,0.0,0.0,26.55,S
306,0,1.0,male,54.0,0.0,1.0,77.2875,S
307,0,1.0,male,21.0,0.0,1.0,77.2875,S
308,1,1.0,female,55.0,0.0,0.0,135.6333,C
309,1,1.0,female,31.0,0.0,2.0,164.8667,S
310,0,1.0,male,57.0,1.0,1.0,164.8667,S
311,1,1.0,female,45.0,1.0,1.0,164.8667,S
312,0,1.0,male,50.0,1.0,1.0,211.5,C
313,0,1.0,male,27.0,0.0,2.0,211.5,C
314,1,1.0,female,50.0,1.0,1.0,211.5,C
315,1,1.0,female,21.0,0.0,0.0,26.55,S
316,0,1.0,male,51.0,0.0,1.0,61.3792,C
317,1,1.0,male,21.0,0.0,1.0,61.3792,C
318,0,1.0,male,29.0,0.0,0.0,35.0,S
319,1,1.0,female,31.0,0.0,0.0,134.5,C
320,1,1.0,male,29.0,0.0,0.0,35.5,S
321,0,1.0,male,62.0,0.0,0.0,26.55,S
322,1,1.0,female,36.0,0.0,0.0,135.6333,C
323,0,2.0,male,30.0,1.0,0.0,24.0,C
324,1,2.0,female,28.0,1.0,0.0,24.0,C
325,0,2.0,male,30.0,0.0,0.0,13.0,S
326,0,2.0,male,18.0,0.0,0.0,11.5,S
327,0,2.0,male,25.0,0.0,0.0,10.5,S
328,0,2.0,male,34.0,1.0,0.0,26.0,S
329,1,2.0,female,36.0,1.0,0.0,26.0,S
330,0,2.0,male,57.0,0.0,0.0,13.0,S
331,0,2.0,male,18.0,0.0,0.0,11.5,S
332,0,2.0,male,23.0,0.0,0.0,10.5,S
333,1,2.0,female,36.0,0.0,0.0,13.0,S
334,0,2.0,male,28.0,0.0,0.0,10.5,S
335,0,2.0,male,51.0,0.0,0.0,12.525,S
336,1,2.0,male,32.0,1.0,0.0,26.0,S
337,1,2.0,female,19.0,1.0,0.0,26.0,S
338,0,2.0,male,28.0,0.0,0.0,26.0,S
339,1,2.0,male,1.0,2.0,1.0,39.0,S
340,1,2.0,female,4.0,2.0,1.0,39.0,S
341,1,2.0,female,12.0,2.0,1.0,39.0,S
342,1,2.0,female,36.0,0.0,3.0,39.0,S
343,1,2.0,male,34.0,0.0,0.0,13.0,S
344,1,2.0,female,19.0,0.0,0.0,13.0,S
345,0,2.0,male,23.0,0.0,0.0,13.0,S
346,0,2.0,male,26.0,0.0,0.0,13.0,S
347,0,2.0,male,42.0,0.0,0.0,13.0,S
348,0,2.0,male,27.0,0.0,0.0,13.0,S
349,1,2.0,female,24.0,0.0,0.0,13.0,S
350,1,2.0,female,15.0,0.0,2.0,39.0,S
351,0,2.0,male,60.0,1.0,1.0,39.0,S
352,1,2.0,female,40.0,1.0,1.0,39.0,S
353,1,2.0,female,20.0,1.0,0.0,26.0,S
354,0,2.0,male,25.0,1.0,0.0,26.0,S
355,1,2.0,female,36.0,0.0,0.0,13.0,S
356,0,2.0,male,25.0,0.0,0.0,13.0,S
357,0,2.0,male,42.0,0.0,0.0,13.0,S
358,1,2.0,female,42.0,0.0,0.0,13.0,S
359,1,2.0,male,0.8333,0.0,2.0,29.0,S
360,1,2.0,male,26.0,1.0,1.0,29.0,S
361,1,2.0,female,22.0,1.0,1.0,29.0,S
362,1,2.0,female,35.0,0.0,0.0,21.0,S
363,0,2.0,male,29.0,0.0,0.0,13.0,S
364,0,2.0,male,19.0,0.0,0.0,13.0,S
365,0,2.0,female,44.0,1.0,0.0,26.0,S
366,0,2.0,male,54.0,1.0,0.0,26.0,S
367,0,2.0,male,52.0,0.0,0.0,13.5,S
368,0,2.0,male,37.0,1.0,0.0,26.0,S
369,0,2.0,female,29.0,1.0,0.0,26.0,S
370,1,2.0,female,25.0,1.0,1.0,30.0,S
371,1,2.0,female,45.0,0.0,2.0,30.0,S
372,0,2.0,male,29.0,1.0,0.0,26.0,S
373,1,2.0,female,28.0,1.0,0.0,26.0,S
374,0,2.0,male,29.0,0.0,0.0,10.5,S
375,0,2.0,male,28.0,0.0,0.0,13.0,S
376,1,2.0,male,24.0,0.0,0.0,10.5,S
377,1,2.0,female,8.0,0.0,2.0,26.25,S
378,0,2.0,male,31.0,1.0,1.0,26.25,S
379,1,2.0,female,31.0,1.0,1.0,26.25,S
380,1,2.0,female,22.0,0.0,0.0,10.5,S
381,0,2.0,female,30.0,0.0,0.0,13.0,S
382,0,2.0,female,35.5,0.0,0.0,21.0,S
383,0,2.0,male,21.0,0.0,0.0,11.5,S
384,0,2.0,male,29.0,0.0,0.0,13.0,S
385,1,2.0,male,8.0,1.0,1.0,36.75,S
386,0,2.0,male,18.0,0.0,0.0,73.5,S
387,1,2.0,female,48.0,0.0,2.0,36.75,S
388,1,2.0,female,28.0,0.0,0.0,13.0,S
389,0,2.0,male,32.0,0.0,0.0,13.0,S
390,0,2.0,male,17.0,0.0,0.0,73.5,S
391,0,2.0,male,29.0,1.0,0.0,27.7208,C
392,1,2.0,female,24.0,1.0,0.0,27.7208,C
393,0,2.0,male,25.0,0.0,0.0,31.5,S
394,0,2.0,male,18.0,0.0,0.0,73.5,S
395,1,2.0,female,18.0,0.0,1.0,23.0,S
396,1,2.0,female,34.0,0.0,1.0,23.0,S
397,0,2.0,male,54.0,0.0,0.0,26.0,S
398,1,2.0,male,8.0,0.0,2.0,32.5,S
399,0,2.0,male,42.0,1.0,1.0,32.5,S
400,1,2.0,female,34.0,1.0,1.0,32.5,S
401,1,2.0,female,27.0,1.0,0.0,13.8583,C
402,1,2.0,female,30.0,1.0,0.0,13.8583,C
403,0,2.0,male,23.0,0.0,0.0,13.0,S
404,0,2.0,male,21.0,0.0,0.0,13.0,S
405,0,2.0,male,18.0,0.0,0.0,13.0,S
406,0,2.0,male,40.0,1.0,0.0,26.0,S
407,1,2.0,female,29.0,1.0,0.0,26.0,S
408,0,2.0,male,18.0,0.0,0.0,10.5,S
409,0,2.0,male,36.0,0.0,0.0,13.0,S
410,0,2.0,male,29.0,0.0,0.0,13.0,S
411,0,2.0,female,38.0,0.0,0.0,13.0,S
412,0,2.0,male,35.0,0.0,0.0,26.0,S
413,0,2.0,male,38.0,1.0,0.0,21.0,S
414,0,2.0,male,34.0,1.0,0.0,21.0,S
415,1,2.0,female,34.0,0.0,0.0,13.0,S
416,0,2.0,male,16.0,0.0,0.0,26.0,S
417,0,2.0,male,26.0,0.0,0.0,10.5,S
418,0,2.0,male,47.0,0.0,0.0,10.5,S
419,0,2.0,male,21.0,1.0,0.0,11.5,S
420,0,2.0,male,21.0,1.0,0.0,11.5,S
421,0,2.0,male,24.0,0.0,0.0,13.5,S
422,0,2.0,male,24.0,0.0,0.0,13.0,S
423,0,2.0,male,34.0,0.0,0.0,13.0,S
424,0,2.0,male,30.0,0.0,0.0,13.0,S
425,0,2.0,male,52.0,0.0,0.0,13.0,S
426,0,2.0,male,30.0,0.0,0.0,13.0,S
427,1,2.0,male,0.6667,1.0,1.0,14.5,S
428,1,2.0,female,24.0,0.0,2.0,14.5,S
429,0,2.0,male,44.0,0.0,0.0,13.0,S
430,1,2.0,female,6.0,0.0,1.0,33.0,S
431,0,2.0,male,28.0,0.0,1.0,33.0,S
432,1,2.0,male,62.0,0.0,0.0,10.5,S
433,0,2.0,male,30.0,0.0,0.0,10.5,S
434,1,2.0,female,7.0,0.0,2.0,26.25,S
435,0,2.0,male,43.0,1.0,1.0,26.25,S
436,1,2.0,female,45.0,1.0,1.0,26.25,S
437,1,2.0,female,24.0,1.0,2.0,65.0,S
